Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.153435343413958,0.279256347449089,0.427598033601038,0,0,0,13.3143923314902,0.049257304457115,4.8095810103707E-05,-0.000447442166962408,0.0987482948976207,-4.22053437379323E-06,0.0758221479731222,0,0,0,0,0,0,package://chc/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://chc/meshes/base_link.STL,,arrm-2;arrm-6;mothld-6;legs-1;mothld-5;arrm-3;mothld-4;legs-2;arrm-5;arrm-4;mothld-1;batter-2;elec-1;mothld-3;centstep-1;mothld-2;arrm-1;batter-3;batter-1;batplate-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
a,-0.000261077451711111,0.0120920473366849,1.48984772350147E-05,0,0,0,0.0370533673373492,0.000103955698057427,-2.55907136887189E-08,-1.02306945637076E-05,0.000107226899970895,-4.73247445602561E-08,3.69855930008425E-06,0,0,0,0,0,0,package://chc/meshes/a.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://chc/meshes/a.STL,,pa-1,Origin_aa,Axis2,aa,continuous,0.62754,-0.15388,0.39902,1.5703,0.0092273,0.076744,base_link,0.0092269,-0.99996,-0.00045467,,,,,,,,,,,,
b,-0.000261080674433256,0.0120922413442349,1.48985013623815E-05,0,0,0,0.0370526319211824,0.000103960475795434,-2.55876547265067E-08,-1.02336127184345E-05,0.00010723148740865,-4.73493771150794E-08,3.69813174012549E-06,0,0,0,0,0,0,package://chc/meshes/b.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://chc/meshes/b.STL,,pb-1,Origin_bb,Axis3,bb,continuous,0.62754,-0.70131,0.39902,1.5703,0.0092265,1.0294,base_link,0.0092269,-0.99996,-0.00045467,,,,,,,,,,,,
c,-0.00026108136225933,0.0120922663154713,1.48985359311737E-05,0,0,0,0.0370523979307435,0.000103961714280872,-2.55880349888279E-08,-1.02341949749603E-05,0.000107232795800359,-4.73541777015381E-08,3.69818374121028E-06,0,0,0,0,0,0,package://chc/meshes/c.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://chc/meshes/c.STL,,pc-1,Origin_cc,Axis4,cc,continuous,0.15346,-0.97502,0.39902,1.5703,0.0092265,0.50176,base_link,0.0092269,-0.99996,-0.00045467,,,,,,,,,,,,
d,-0.000261081317286194,0.0120922727261251,1.48985204954655E-05,0,0,0,0.0370524515753723,0.000103960958148904,-2.55878181130016E-08,-1.02338608257885E-05,0.000107231999714093,-4.73514404747606E-08,3.69815375885829E-06,0,0,0,0,0,0,package://chc/meshes/d.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://chc/meshes/d.STL,,pd-1,Origin_dd,Axis5,dd,continuous,-0.32062,-0.70131,0.39902,1.5703,0.0092272,0.84515,base_link,0.0092269,-0.99996,-0.00045467,,,,,,,,,,,,
e,-0.000261080678023565,0.0120923460609948,1.48985432892879E-05,0,0,0,0.0370531297034443,0.000103962499686914,-2.55866852296768E-08,-1.02338729723253E-05,0.000107233420414485,-4.73508536415157E-08,3.6980241937689E-06,0,0,0,0,0,0,package://chc/meshes/e.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://chc/meshes/e.STL,,pe-1,Origin_ee,Axis6,ee,continuous,-0.32062,-0.15388,0.39902,1.5703,0.0092267,-1.2251,base_link,0.0092269,-0.99996,-0.00045467,,,,,,,,,,,,
f,-0.000261076470444793,0.0120916983480183,1.48978622521584E-05,0,0,0,0.0370522416463855,0.000103961423340217,-2.55943525246052E-08,-1.02318962449463E-05,0.000107233057390549,-4.7335277253784E-08,3.69908776650105E-06,0,0,0,0,0,0,package://chc/meshes/f.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://chc/meshes/f.STL,,pf-1,Origin_ff,Axis7,ff,continuous,0.15346,0.11983,0.39902,1.5703,0.0092277,0,base_link,0.0092269,-0.99996,-0.00045465,,,,,,,,,,,,
