Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.330842757941705,0.00141682914496388,0.241494139907522,0,0,0,7.41079353922965,0.0707313872557454,0.000177846823281279,0.0157608310414624,0.14760009216574,7.16123130408671E-07,0.126477993045418,0,0,0,0,0,0,package://a4/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://a4/meshes/base_link.STL,,base_baseplate v2 v1-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
w1,-0.0189999999861161,4.65519262027314E-10,-6.67766064665898E-10,0,0,0,0.265450533362891,0.000345982313059723,-1.92850392634295E-13,-2.61616916066426E-13,0.000201628854486195,-6.98283871859978E-12,0.000201628857010057,0,0,0,0,0,0,package://a4/meshes/w1.STL,1,1,1,1,0,0,0,0,0,0,package://a4/meshes/w1.STL,,t3-1,Origin_j1,Axis1,j1,continuous,-0.02,0.1365,0.0134,-1.6313,0,-1.5708,base_link,1,0,0,,,,,,,,,,,,
w2,0.0190000000136625,-4.98847900487487E-10,7.02136973562695E-10,0,0,0,0.265450533362891,0.000345982313073095,1.97723471068326E-13,2.62911132582024E-13,0.000201628854503653,-6.98332940337526E-12,0.000201628857005982,0,0,0,0,0,0,package://a4/meshes/w2.STL,1,1,1,1,0,0,0,0,0,0,package://a4/meshes/w2.STL,,t4-1,Origin_j2,Axis2,j2,continuous,-0.52005,0.13933,0.0134,1.5708,0,1.5708,base_link,1,0,0,,,,,,,,,,,,
w3,-0.0189999999957724,-5.36854755095462E-10,5.31360566657924E-10,0,0,0,0.265450533362892,0.000345982313129266,2.49018474279096E-13,1.85521143791214E-13,0.000201628854543678,-6.97296118279877E-12,0.000201628857022206,0,0,0,0,0,0,package://a4/meshes/w3.STL,1,1,1,1,0,0,0,0,0,0,package://a4/meshes/w3.STL,,t1-1,Origin_j3,Axis3,j3,continuous,-0.02,-0.1365,0.0134,-2.0084,0,1.5708,base_link,1,0,0,,,,,,,,,,,,
w4,-0.0189999999863382,-4.98846935981234E-10,7.02147465170277E-10,0,0,0,0.265450533362891,0.000345982313073095,1.97723430268097E-13,2.62911150864385E-13,0.000201628854503653,-6.98332957124218E-12,0.000201628857005981,0,0,0,0,0,0,package://a4/meshes/w4.STL,1,1,1,1,0,0,0,0,0,0,package://a4/meshes/w4.STL,,t2-1,Origin_j4,Axis4,j4,continuous,-0.52005,-0.13367,0.0134,1.5708,0,1.5708,base_link,1,0,0,,,,,,,,,,,,
